id;type_ID;name;code1;code2;property1;property2;manufacture;price;price_unitID;image_path;record_date
306;8;KONEKTÖR;5PÝN DÝÞÝ SIKIÞTIRMALI tunik ;;5PÝN DÝÞÝ SIKIÞTIRMALI tunik ;;;0;Usd;;06.06.2020 08:33
307;8;SMD DÝRENÇ;5R6 ;;5R6 ;;;0;Usd;;06.06.2020 08:33
308;8;DÝRENÇ;5R6 - 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
309;9;Kaçak akým koruma rölesi;5SM3 646-0, 300 mA, 63A, 4P Kaçak akým koruma rölesi, siemens;;5SM3 646-0, 300 mA, 63A, 4P Kaçak akým koruma rölesi, siemens;;;0;Usd;;06.06.2020 08:33
310;8;TAÞ DÝRENÇ;5W1KJ;;5W1KJ;;;0;Usd;;06.06.2020 08:33
311;8;SÝGORTA YUVASI;5X20MM ;;5X20MM ;;;0;Usd;;06.06.2020 08:33
312;12;GY-50 , GY-521  ,ADXL345 ;6 EKSEN GY-50 , GY-521  ,ADXL345;;6 EKSEN GY-50 , GY-521  ,ADXL345;;;0;Usd;;06.06.2020 08:33
313;8;ENTEGRE SOKETÝ;6 LI;;6 LI;;;0;Usd;;06.06.2020 08:33
314;8;DÝRENÇ;6,8k 1/4W ;;6,8k 1/4W ;;;0;Usd;;06.06.2020 08:33
315;8;KONDANSATÖR;63V 100U;;63V 100U;;;0;Usd;;06.06.2020 08:33
316;8;DÝRENÇ;680k 1/4W ;;680k 1/4W ;;;0;Usd;;06.06.2020 08:33
317;8;DÝRENÇ;680R 1/4W ;;680R 1/4W ;;;0;Usd;;06.06.2020 08:33
318;8;DÝRENÇ;68k 1/4W ;;68k 1/4W ;;;0;Usd;;06.06.2020 08:33
319;8;DÝRENÇ;68R 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
320;8;DÝRENÇ;6R8 - 1/4W;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
321;8;BUTON;6X6 2mm TACH BUTON 2 BACAK;;6X6 2mm TACH BUTON 2 BACAK;;;0;Usd;;06.06.2020 08:33
322;8;SIRA DÝRENÇ;7 LÝ;;7 LÝ;;;0;Usd;;06.06.2020 08:33
323;8;DÝSPLAY;7 SEGMENT ;;7 SEGMENT ;;;0;Usd;;06.06.2020 08:33
324;8;SIRA DÝRENÇ;7+1 LÝ ;;7+1 LÝ ;;;0;Usd;;06.06.2020 08:33
325;8;ENTEGRE;74C922C ;;74C922C ;;;0;Usd;;06.06.2020 08:33
326;8;ENTEGRE;74HC138 ;;74HC138 ;;;0;Usd;;06.06.2020 08:33
327;8;ENTEGRE;74HC151 ;;74HC151 ;;;0;Usd;;06.06.2020 08:33
328;8;ENTEGRE;74HCT10N;;74HCT10N;;;0;Usd;;06.06.2020 08:33
329;8;ENTEGRE;74LS11N;;74LS11N;;;0;Usd;;06.06.2020 08:33
330;8;REGÜLATÖR;78 MOS SMD ;;78 MOS SMD ;;;0;Usd;;06.06.2020 08:33
331;8;ANAHTAR;7X7;;7X7;;;0;Usd;;06.06.2020 08:33
334;8;SIRA DÝRENÇ;8 LÝ DÝRENÇ;;8 LÝ;;;0;Usd;;06.06.2020 08:33
332;8;SOKET;8 LÝ SOKET;;8 LÝ;;;0;Usd;;06.06.2020 08:33
333;8;SWÝTCH;8 LÝ SWÝTCH;;8 LÝ;;;0;Usd;;06.06.2020 08:33
335;8;DÝRENÇ;8,2k 1/4W ;;8,2k 1/4W ;;;0;Usd;;06.06.2020 08:33
336;8;DÝRENÇ;820k 1/4W ;;820k 1/4W ;;;0;Usd;;06.06.2020 08:33
337;8;DÝRENÇ;820R 1/4W ;;820R 1/4W ;;;0;Usd;;06.06.2020 08:33
338;8;DÝRENÇ;82k 1/4W ;;82k 1/4W ;;;0;Usd;;06.06.2020 08:33
339;8;DÝRENÇ;82R 1/4W ;;DÝP - KARBON;;;0;Usd;;06.06.2020 08:33
340;8;SIRA DÝRENÇ;8'LÝ ;;8'LÝ ;;;0;Usd;;06.06.2020 08:33
341;8;ENTEGRE SOKETÝ;8'LÝ PRES CÝON ;;8'LÝ PRES CÝON ;;;0;Usd;;06.06.2020 08:33
342;8;LCD ;8X2 KARAKTERÝSTLÝK;;8X2 KARAKTERÝSTLÝK;;;0;Usd;;06.06.2020 08:33
343;12;MODÜLÜ;8X8 DOT MATRÝX ;;8X8 DOT MATRÝX ;;;0;Usd;;06.06.2020 08:33
344;8;ZENER DÝYOT;9.1 V ZENER DÝYOT;;9.1 V ZENER DÝYOT;;;0;Usd;;06.06.2020 08:33
345;8;PÝL SOKETÝ;9V ;;9V ;;;0;Usd;;06.06.2020 08:33
346;8;JACK;9VPÝL DÖNÜÞTÜRÜCÜ JACK;;9VPÝL DÖNÜÞTÜRÜCÜ JACK;;;0;Usd;;06.06.2020 08:33
347;9;SIGORTA;A926545;SG;65A C SINIFI;;SIEMENS;65;Euro;A926545.png;06.06.2020 08:33
348;9;Pano topraklý piriz;A9A15035 Pano tipi topraklý piriz 16A 250V;;A9A15035 Pano tipi topraklý piriz 16A 250V;;;0;Usd;;06.06.2020 08:33
349;9;Düþük gerilim bobini ;A9A26960, sigorta yanýna takýlan düþük gerilim bobini;;A9A26960, sigorta yanýna takýlan düþük gerilim bobini;;;0;Usd;;06.06.2020 08:33
350;9;Uzaktan açtýrma ;A9C70124 RCA iC60 uzaktan açtýrma aparatý;;A9C70124 RCA iC60 uzaktan açtýrma aparatý;;;0;Usd;;06.06.2020 08:33
351;9;Kaçak akým koruma rölesi;A9D31716A, 16A, 30mA 3P+N sigortaya yandan geçmeli;;A9D31716A, 16A, 30mA 3P+N sigortaya yandan geçmeli;;;0;Usd;;06.06.2020 08:33
352;9;Kaçak akýmlý sigorta;A9D34632, C32, 30ma 2P Kaçak akýmlý sigorta;;A9D34632, C32, 30ma 2P Kaçak akýmlý sigorta;;;0;Usd;;06.06.2020 08:33
353;9;2 kutup sigorta;A9F73204 2P B4 Sigorta;;A9F73204 2P B4 Sigorta;;;0;Usd;;06.06.2020 08:33
354;9;3P sigorta;A9F73340, B40 3P sigorta, kaçak akýma monteli halde;;A9F73340, B40 3P sigorta, kaçak akýma monteli halde;;;0;Usd;;06.06.2020 08:33
355;9;1 kutup sigorta;A9F74106 1P C6 Sigorta;;A9F74106 1P C6 Sigorta;;;0;Usd;;06.06.2020 08:33
356;9;2 kutup sigorta;A9F74206 2P C6 Sigorta;;A9F74206 2P C6 Sigorta;;;0;Usd;;06.06.2020 08:33
357;9;3 kutup sigorta;A9F74310 3P C10 sigorta;;A9F74310 3P C10 sigorta;;;0;Usd;;06.06.2020 08:33
358;9;4 kutup sigorta;A9f84410 4P C10 sigorta;;A9f84410 4P C10 sigorta;;;0;Usd;;06.06.2020 08:33
359;9;Wireless enerji  ölçer;A9MEM1540, 3P, max 63A;;A9MEM1540, 3P, max 63A;;;0;Usd;;06.06.2020 08:33
360;9;Kaçak akým koruma rölesi 2P;A9R41240, 30mA, 40A Kaçak akým koruma rölesi 2P;;A9R41240, 30mA, 40A Kaçak akým koruma rölesi 2P;;;0;Usd;;06.06.2020 08:33
